date, pm25, pm10
2025/8/1, 46, 17
2025/8/2, 50, 11
2025/8/3, 37, 13
2025/8/4, 47, 12
2025/8/5, 43, 20
2025/8/6, 57, 23
2025/8/7, 61, 12
2025/8/8, 42, 14
2025/8/9, 51, 15
2025/8/10, 54, 15
2025/8/11, 53, 18
2025/8/12, 53, 12
2025/8/13, 43, 16
2025/8/14, 54, 15
2025/8/15, 48, 17
2025/8/16, 54, 15
2025/8/17, 49, 17
2025/8/18, 51, 18
2025/8/19, 54, 21
2025/8/20, 57, 15
2025/8/21, 46, 6
2025/8/22, 25, 
2025/7/1, 60, 24
2025/7/2, 56, 23
2025/7/3, 48, 18
2025/7/4, 43, 19
2025/7/5, 46, 28
2025/7/6, 57, 18
2025/7/7, 39, 22
2025/7/8, 50, 16
2025/7/9, 30, 21
2025/7/10, 47, 23
2025/7/11, 57, 28
2025/7/12, 66, 24
2025/7/13, 59, 27
2025/7/14, 58, 15
2025/7/15, 44, 25
2025/7/16, 48, 23
2025/7/17, 53, 31
2025/7/18, 64, 43
2025/7/19, 76, 26
2025/7/20, 66, 32
2025/7/21, 71, 19
2025/7/22, 54, 22
2025/7/23, 61, 25
2025/7/24, 64, 21
2025/7/25, 55, 20
2025/7/26, 51, 16
2025/7/27, 50, 11
2025/7/28, 42, 16
2025/7/29, 48, 19
2025/7/30, 53, 13
2025/7/31, 45, 19
2025/4/1, 208, 207
2025/4/2, 229, 182
2025/4/3, 225, 169
2025/4/4, 196, 155
2025/4/5, 200, 144
2025/4/6, 191, 184
2025/4/7, 217, 155
2025/4/8, 200, 144
2025/4/9, 182, 71
2025/4/10, 148, 65
2025/4/11, 127, 72
2025/4/12, 111, 75
2025/4/13, 130, 66
2025/4/14, 122, 57
2025/4/15, 117, 77
2025/4/16, 143, 74
2025/4/17, 138, 26
2025/4/18, 71, 
2025/4/20, 104, 92
2025/4/21, 170, 73
2025/4/22, 144, 118
2025/4/23, 159, 138
2025/4/24, 159, 134
2025/4/25, 155, 131
2025/4/26, 161, 105
2025/4/27, 155, 51
2025/4/28, 109, 63
2025/4/29, 111, 64
2025/4/30, 117, 51
2025/5/1, 94, 65
2025/5/2, 114, 62
2025/5/3, 128, 41
2025/5/4, 90, 61
2025/5/5, 105, 49
2025/5/6, 109, 67
2025/5/7, 114, 66
2025/5/8, 113, 84
2025/5/9, 129, 77
2025/5/10, 118, 68
2025/5/11, 107, 69
2025/5/12, 107, 100
2025/5/13, 114, 72
2025/5/14, 123, 71
2025/5/15, 125, 65
2025/5/16, 122, 96
2025/5/17, 144, 57
2025/5/18, 120, 58
2025/5/19, 119, 33
2025/5/20, 71, 51
2025/5/21, 105, 60
2025/5/22, 101, 40
2025/5/23, 90, 41
2025/5/24, 93, 53
2025/5/25, 106, 33
2025/5/26, 72, 27
2025/5/27, 60, 37
2025/5/28, 73, 28
2025/5/29, 54, 30
2025/5/30, 52, 52
2025/5/31, 101, 62
2025/6/1, 110, 75
2025/6/2, 122, 78
2025/6/3, 136, 54
2025/6/4, 107, 54
2025/6/5, 95, 59
2025/6/6, 92, 70
2025/6/7, 105, 62
2025/6/8, 110, 67
2025/6/9, 128, 66
2025/6/10, 132, 59
2025/6/11, 130, 55
2025/6/12, 124, 56
2025/6/13, 124, 53
2025/6/14, 103, 41
2025/6/15, 88, 40
2025/6/16, 85, 23
2025/6/17, 55, 20
2025/6/18, 46, 17
2025/6/19, 48, 16
2025/6/20, 42, 18
2025/6/21, 46, 28
2025/6/22, 58, 18
2025/6/23, 46, 19
2025/6/24, 49, 19
2025/6/25, 43, 23
2025/6/26, 50, 18
2025/6/27, 47, 21
2025/6/28, 46, 18
2025/6/29, 53, 23
2025/6/30, 59, 26
2025/1/13, 150, 89
2025/1/14, 156, 92
2025/1/15, 159, 101
2025/1/16, 163, 109
2025/1/17, 154, 107
2025/1/18, 156, 115
2025/1/19, 163, 156
2025/1/20, 171, 137
2025/1/21, 166, 212
2025/1/22, 199, 123
2025/1/23, 153, 117
2025/1/24, 152, 94
2025/1/25, 155, 83
2025/1/26, 160, 109
2025/1/27, 171, 95
2025/1/28, 167, 89
2025/1/29, 161, 89
2025/1/30, 159, 92
2025/1/31, 156, 111
2025/2/1, 162, 109
2025/2/2, 144, 119
2025/2/3, 158, 97
2025/2/4, 162, 154
2025/2/5, 144, 112
2025/2/6, 149, 186
2025/2/7, 151, 117
2025/2/8, 162, 98
2025/2/9, 167, 107
2025/2/10, 171, 99
2025/2/11, 150, 95
2025/2/12, 158, 130
2025/2/13, 160, 108
2025/2/14, 172, 112
2025/2/15, 174, 105
2025/2/16, 169, 97
2025/2/17, 169, 96
2025/2/18, 167, 107
2025/2/19, 166, 133
2025/2/20, 167, 133
2025/2/21, 161, 89
2025/2/22, 145, 120
2025/2/23, 151, 96
2025/2/24, 163, 93
2025/2/25, 161, 94
2025/2/26, 168, 102
2025/2/27, 169, 84
2025/2/28, 153, 55
2025/3/1, 115, 67
2025/3/2, 112, 69
2025/3/3, 120, 83
2025/3/4, 131, 92
2025/3/5, 146, 96
2025/3/6, 160, 104
2025/3/7, 167, 96
2025/3/8, 165, 99
2025/3/9, 168, 101
2025/3/10, 170, 96
2025/3/11, 167, 96
2025/3/12, 168, 78
2025/3/13, 151, 63
2025/3/14, 123, 82
2025/3/15, 134, 88
2025/3/16, 131, 89
2025/3/17, 119, 104
2025/3/18, 126, 109
2025/3/19, 139, 101
2025/3/20, 143, 111
2025/3/21, 152, 57
2025/3/22, 99, 63
2025/3/23, 100, 82
2025/3/24, 132, 90
2025/3/25, 157, 113
2025/3/26, 170, 124
2025/3/27, 184, 138
2025/3/28, 183, 137
2025/3/29, 175, 152
2025/3/30, 195, 165
2025/3/31, 210, 170
2024/10/1, 65, 34
2024/10/2, 84, 24
2024/10/3, 69, 23
2024/10/4, 58, 24
2024/10/5, 63, 29
2024/10/6, 66, 31
2024/10/7, 72, 28
2024/10/8, 69, 34
2024/10/9, 78, 38
2024/10/10, 86, 44
2024/10/11, 99, 41
2024/10/12, 98, 43
2024/10/13, 92, 46
2024/10/14, 106, 49
2024/10/15, 116, 57
2024/10/16, 137, 60
2024/10/17, 148, 64
2024/10/18, 150, 60
2024/10/19, 141, 58
2024/10/20, 139, 54
2024/10/21, 128, 53
2024/10/22, 117, 53
2024/10/23, 108, 50
2024/10/24, 94, 37
2024/10/25, 89, 39
2024/10/26, 88, 42
2024/10/27, 91, 40
2024/10/28, 82, 43
2024/10/29, 83, 46
2024/10/30, 96, 53
2024/10/31, 125, 50
2024/11/1, 126, 50
2024/11/2, 152, 
2024/11/3, 143, 
2024/11/4, 87, 
2024/11/5, 47, 
2024/11/6, 69, 
2024/11/7, 76, 
2024/11/8, 87, 
2024/11/11, 98, 
2024/11/12, 124, 57
2024/11/13, 133, 57
2024/11/14, 132, 45
2024/11/15, 114, 37
2024/11/16, 99, 31
2024/11/17, 80, 27
2024/11/18, 76, 28
2024/11/19, 70, 22
2024/11/20, 63, 19
2024/11/21, 57, 21
2024/11/22, 60, 21
2024/11/23, 66, 20
2024/11/24, 59, 23
2024/11/25, 64, 28
2024/11/26, 83, 30
2024/11/27, 89, 24
2024/11/28, 75, 23
2024/11/29, 68, 19
2024/11/30, 60, 16
2024/12/1, 53, 18
2024/12/2, 59, 
2024/12/3, 125, 
2024/12/4, 125, 
2024/12/5, 125, 
2024/12/6, 149, 
2024/12/7, 162, 
2024/12/8, 161, 
2024/12/9, 164, 
2024/12/10, 146, 
2024/12/11, 151, 
2024/12/12, 155, 
2024/12/13, 145, 
2024/12/14, 143, 
2024/7/1, 51, 15
2024/7/2, 47, 25
2024/7/3, 55, 19
2024/7/4, 50, 16
2024/7/5, 50, 11
2024/7/6, 40, 16
2024/7/7, 48, 22
2024/7/8, 55, 30
2024/7/9, 71, 25
2024/7/10, 69, 29
2024/7/11, 76, 14
2024/7/12, 43, 19
2024/7/13, 50, 21
2024/7/14, 56, 30
2024/7/15, 66, 20
2024/7/16, 54, 20
2024/7/17, 53, 18
2024/7/18, 51, 17
2024/7/19, 45, 25
2024/7/20, 57, 24
2024/7/21, 61, 20
2024/7/22, 50, 13
2024/7/23, 34, 11
2024/7/24, 33, 16
2024/7/25, 42, 17
2024/7/26, 44, 11
2024/7/27, 47, 17
2024/7/28, 48, 19
2024/7/29, 45, 16
2024/7/30, 50, 15
2024/7/31, 33, 16
2024/8/1, 45, 20
2024/8/2, 46, 21
2024/8/3, 40, 21
2024/8/4, 38, 21
2024/8/5, 51, 11
2024/8/6, 42, 7
2024/8/7, 29, 
2024/8/12, 61, 25
2024/8/13, 61, 20
2024/8/14, 48, 16
2024/8/15, 43, 22
2024/8/16, 46, 14
2024/8/17, 41, 14
2024/8/18, 36, 13
2024/8/19, 38, 11
2024/8/20, 37, 12
2024/8/21, 45, 14
2024/8/22, 42, 17
2024/8/23, 49, 19
2024/8/24, 51, 20
2024/8/25, 47, 22
2024/8/26, 59, 22
2024/8/27, 52, 31
2024/8/28, 63, 21
2024/8/29, 56, 26
2024/8/30, 50, 27
2024/8/31, 59, 15
2024/9/1, 50, 25
2024/9/2, 58, 15
2024/9/3, 42, 18
2024/9/4, 43, 
2024/9/5, 56, 
2024/9/6, 25, 
2024/9/7, 31, 
2024/9/8, 41, 
2024/9/9, 49, 
2024/9/10, 63, 
2024/9/11, 54, 
2024/9/12, 49, 
2024/9/13, 51, 
2024/9/14, 52, 
2024/9/15, 36, 
2024/9/16, 41, 
2024/9/17, 57, 
2024/9/18, 63, 
2024/9/19, 61, 42
2024/9/20, 80, 41
2024/9/21, 81, 52
2024/9/22, 90, 53
2024/9/23, 106, 43
2024/9/24, 100, 27
2024/9/25, 71, 21
2024/9/26, 61, 9
2024/9/27, 38, 14
2024/9/28, 49, 27
2024/9/29, 73, 25
2024/9/30, 63, 27
2024/4/1, 103, 98
2024/4/2, 138, 106
2024/4/3, 149, 140
2024/4/4, 153, 119
2024/4/5, 153, 121
2024/4/6, 155, 115
2024/4/7, 160, 91
2024/4/8, 166, 
2024/4/18, 155, 159
2024/4/19, 164, 225
2024/4/20, 159, 188
2024/4/21, 158, 209
2024/4/22, 161, 144
2024/4/23, 142, 147
2024/4/24, 158, 189
2024/4/25, 165, 231
2024/4/26, 176, 194
2024/4/27, 170, 172
2024/4/28, 152, 192
2024/4/29, 164, 207
2024/4/30, 164, 174
2024/5/1, 150, 169
2024/5/2, 149, 185
2024/5/3, 174, 224
2024/5/4, 174, 169
2024/5/5, 163, 120
2024/5/6, 149, 58
2024/5/7, 98, 45
2024/5/8, 93, 52
2024/5/9, 97, 48
2024/5/10, 89, 63
2024/5/11, 106, 42
2024/5/12, 95, 52
2024/5/13, 92, 60
2024/5/14, 107, 70
2024/5/15, 108, 71
2024/5/16, 89, 110
2024/5/17, 133, 125
2024/5/18, 154, 84
2024/5/19, 142, 61
2024/5/20, 122, 60
2024/5/21, 95, 45
2024/5/22, 85, 57
2024/5/23, 89, 64
2024/5/24, 103, 50
2024/5/25, 95, 49
2024/5/26, 97, 48
2024/5/27, 82, 40
2024/5/28, 80, 70
2024/5/29, 110, 85
2024/5/30, 112, 69
2024/5/31, 97, 105
2024/6/1, 100, 67
2024/6/2, 106, 67
2024/6/3, 106, 
2024/6/11, 126, 
2024/6/14, 141, 
2024/6/16, 123, 51
